customer_id,full_name,email
ecc33166-579b-5cf4-87ea-a4392d74d705,Ana García,ana.garcia@distritochilaquil.local
5544cc4a-99e9-5d00-a503-5b6ecc8441c5,Luis Hernández,luis.hernandez@distritochilaquil.local
7af930ae-5d4e-5f78-9cc2-740487797b98,María López,maria.lopez@distritochilaquil.local
282df588-2fab-5fbf-872f-b140e9246a38,Jorge Martínez,jorge.martinez@distritochilaquil.local
b1a8f457-12d4-50c7-a91b-98f65ee5ade8,Sofía Ramírez,sofia.ramirez@distritochilaquil.local
71f75236-d1a6-59e5-9813-b0ea2ae37914,Carlos Pérez,carlos.perez@distritochilaquil.local
2b2169b7-d75d-5c3e-aa79-bc8fc2061895,Daniela Torres,daniela.torres@distritochilaquil.local
fadb05be-734f-5195-b346-5d462d534044,Miguel Sánchez,miguel.sanchez@distritochilaquil.local
d9d7b933-f402-5547-8df2-d5482691e644,Valeria Cruz,valeria.cruz@distritochilaquil.local
267ca416-88e4-5b38-bf79-1130a3b1d179,José Flores,jose.flores@distritochilaquil.local
3f8374fe-efbe-5460-8171-4917799b4224,Fernanda Vega,fernanda.vega@distritochilaquil.local
398b2f07-d94a-5c7e-b874-5b11ca8aa883,Ricardo Navarro,ricardo.navarro@distritochilaquil.local
68eb4881-8e72-5aa0-99cd-65bfefc8fffc,Paola Castillo,paola.castillo@distritochilaquil.local
5782e8f0-cfa5-582d-93b7-5083821e7e95,Héctor Rojas,hector.rojas@distritochilaquil.local
0de8a508-24cc-53f7-bc84-71845b3d9815,Camila Ortiz,camila.ortiz@distritochilaquil.local
2ca922e6-72d0-5d92-a75a-a5013b40ec7a,Arturo Mendoza,arturo.mendoza@distritochilaquil.local
0e4e0c6e-fb31-5d7a-9456-07093f7c7b28,Lucía Herrera,lucia.herrera@distritochilaquil.local
4287a7cc-e828-5898-849b-55bb39642a7d,Diego Morales,diego.morales@distritochilaquil.local
0346b1fc-4f8a-5a0f-838e-7a383f4e8c7f,Karina Silva,karina.silva@distritochilaquil.local
c196d3f9-d798-500f-aa34-72987272b22b,Eduardo Núñez,eduardo.nunez@distritochilaquil.local
